id,user_id,client_id,app_id,role,created_at
1,1,1,1,app_client_admin,"2026-03-21 20:06:09"
2,1,1,2,member,"2026-03-21 20:06:09"
3,1,2,1,member,"2026-03-21 20:06:09"
4,2,1,1,member,"2026-03-21 20:06:09"
5,2,2,1,member,"2026-03-21 20:06:09"
6,3,3,2,app_client_admin,"2026-03-21 20:06:09"
7,4,4,3,app_client_admin,"2026-03-18 00:00:00"
8,5,4,3,app_client_admin,"2026-03-18 00:00:00"
9,5,1,3,app_client_admin,"2026-03-18 00:00:00"
10,1,4,3,app_client_admin,"2026-03-22 19:59:33"
11,1,4,4,app_client_admin,"2026-03-30 05:52:36"
